dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,3.026887,2.106885,0.006829,0.054629,0.218514,0.874058,3.141530
0.250000,2.999436,2.106893,0.034279,0.109801,0.220689,0.008699,3.141084
0.250000,2.937683,2.106954,0.096033,0.247016,0.548859,1.312681,3.140110
0.250000,2.827929,2.107208,0.205787,0.439015,0.767997,0.876551,3.138481
0.250000,2.663374,2.107905,0.370343,0.658225,0.876839,0.435367,3.136282
0.250000,2.444110,2.109350,0.589612,0.877077,0.875410,-0.005718,3.133805
0.250000,2.177101,2.111756,0.856632,1.068079,0.764007,-0.445611,3.131491
0.250000,1.876149,2.115073,1.157602,1.203879,0.543201,-0.883221,3.129810
0.250000,1.555015,2.119001,1.478760,1.284635,0.323024,-0.880710,3.129102
0.250000,1.232556,2.122992,1.801243,1.289933,0.021190,-1.207337,3.129524
0.250000,0.927554,2.126478,2.106266,1.220089,-0.279375,-1.202259,3.130970
0.250000,0.653571,2.129110,2.380261,1.095983,-0.496422,-0.868189,3.133140
0.250000,0.424130,2.130779,2.609708,0.917786,-0.712787,-0.865459,3.135592
0.250000,0.247594,2.131642,2.786247,0.706154,-0.846530,-0.534974,3.137875
0.250000,0.125531,2.131989,2.908310,0.488253,-0.871605,-0.100297,3.139654
0.250000,0.052742,2.132089,2.981099,0.291159,-0.788376,0.332913,3.140794
0.250000,0.017260,2.132107,3.016581,0.141925,-0.596935,0.765767,3.141371
0.250000,0.005485,2.132109,3.028356,0.047100,-0.379301,0.870535,3.141565
0.250000,0.003825,2.132109,3.030016,0.006641,-0.161836,0.869857,3.141593
0.250000,0.003825,2.132109,3.030016,0.000000,-0.026562,0.541096,3.141593
