dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,3.026906,2.411685,0.006829,0.054629,0.218514,0.874058,3.141530
0.250000,2.999591,2.411693,0.034143,0.163886,0.437029,0.874058,3.141084
0.250000,2.938134,2.411754,0.095600,0.327772,0.655543,0.874058,3.140110
0.250000,2.828877,2.412006,0.204857,0.546286,0.874058,0.874058,3.138481
0.250000,2.664993,2.412700,0.368743,0.764801,0.874058,0.000000,3.136282
0.250000,2.446483,2.414141,0.587258,0.983315,0.874058,-0.000000,3.133805
0.250000,2.180180,2.416540,0.853572,1.147201,0.655543,-0.874058,3.131491
0.250000,1.879741,2.419852,1.154029,1.256458,0.437029,-0.874058,3.129810
0.250000,1.558822,2.423777,1.474973,1.311087,0.218514,-0.874058,3.129102
0.250000,1.236235,2.427769,1.797584,1.269806,-0.165121,-1.534542,3.129524
0.250000,0.930792,2.431261,2.103047,1.173898,-0.383636,-0.874058,3.130970
0.250000,0.656147,2.433899,2.377704,1.023360,-0.602150,-0.874058,3.133140
0.250000,0.425959,2.435574,2.607899,0.818194,-0.820664,-0.874058,3.135592
0.250000,0.248727,2.436440,2.785133,0.599679,-0.874058,-0.213573,3.137875
0.250000,0.126122,2.436789,2.907738,0.381165,-0.874058,0.000000,3.139654
0.250000,0.052985,2.436889,2.980875,0.203931,-0.708937,0.660484,3.140794
0.250000,0.017328,2.436907,3.016532,0.081325,-0.490422,0.874058,3.141371
0.250000,0.005494,2.436909,3.028367,0.013348,-0.271908,0.874058,3.141565
0.250000,0.003825,2.436909,3.030035,0.000000,-0.053393,0.874058,3.141593
0.250000,0.003825,2.436909,3.030035,0.000000,0.000000,0.213573,3.141593
