dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,3.026925,2.716485,0.006829,0.054629,0.218514,0.874058,3.141530
0.250000,2.999747,2.716493,0.034007,0.108714,0.216340,-0.008699,3.141084
0.250000,2.938586,2.716554,0.095167,0.244642,0.543713,1.309492,3.140110
0.250000,2.829826,2.716805,0.203928,0.435043,0.761604,0.871563,3.138481
0.250000,2.666612,2.717496,0.367143,0.652862,0.871276,0.438689,3.136282
0.250000,2.448857,2.718932,0.584903,0.871038,0.872705,0.005718,3.133805
0.250000,2.183259,2.721324,0.850512,1.062437,0.765594,-0.428444,3.131491
0.250000,1.883332,2.724631,1.150457,1.199780,0.549372,-0.864891,3.129810
0.250000,1.562629,2.728554,1.471184,1.282910,0.332520,-0.867405,3.129102
0.250000,1.239913,2.732547,1.793925,1.290961,0.032204,-1.201266,3.129524
0.250000,0.934029,2.736044,2.099828,1.223615,-0.269382,-1.206345,3.130970
0.250000,0.658724,2.738688,2.375147,1.101274,-0.489364,-0.879927,3.133140
0.250000,0.427788,2.740368,2.606089,0.923767,-0.710028,-0.882654,3.135592
0.250000,0.249860,2.741238,2.784018,0.711719,-0.848191,-0.552655,3.137875
0.250000,0.126713,2.741588,2.907166,0.492592,-0.876510,-0.113276,3.139654
0.250000,0.053228,2.741689,2.980651,0.293937,-0.794618,0.327570,3.140794
0.250000,0.017396,2.741707,3.016483,0.143331,-0.602424,0.768774,3.141371
0.250000,0.005502,2.741709,3.028377,0.047574,-0.383029,0.877580,3.141565
0.250000,0.003825,2.741709,3.030054,0.006708,-0.163465,0.878258,3.141593
0.250000,0.003825,2.741709,3.030054,0.000000,-0.026831,0.546535,3.141593
