dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,0.155130,2.766933,0.007616,0.060932,0.243727,0.974907,0.000130
0.250000,0.186026,2.766867,0.038513,0.123587,0.250622,0.027580,6.278941
0.250000,0.257549,2.766214,0.110039,0.286104,0.650067,1.597781,6.269170
0.250000,0.384594,2.763342,0.237116,0.508307,0.888811,0.954977,6.252060
0.250000,0.574818,2.755027,0.427521,0.761622,1.013263,0.497805,6.227075
0.250000,0.827599,2.736744,0.680963,1.013766,1.008576,-0.018747,6.195167
0.250000,1.141826,2.703011,0.996996,1.264131,1.001459,-0.028467,6.157788
0.250000,1.515801,2.647953,1.375001,1.512022,0.991564,-0.039581,6.116969
0.250000,1.947284,2.566053,1.814188,1.756748,0.978902,-0.050649,6.075312
0.250000,2.433757,2.453023,2.313620,1.997728,0.963923,-0.059916,6.035906
0.250000,2.965453,2.308821,2.864524,2.203616,0.823550,-0.561489,6.002570
0.250000,3.526448,2.139295,3.450574,2.344198,0.562330,-1.044883,5.978907
0.250000,4.102618,1.953986,4.055810,2.420946,0.306991,-1.021357,5.967294
0.250000,4.679454,1.765245,4.662739,2.427716,0.027081,-1.119638,5.968858
0.250000,5.243124,1.585835,5.254273,2.366134,-0.246328,-1.093635,5.983385
0.250000,5.781379,1.426507,5.815614,2.245363,-0.483085,-0.947028,6.009429
0.250000,6.281113,1.295065,6.332345,2.066925,-0.713751,-0.922666,6.044313
0.250000,6.730002,1.194890,6.792276,1.839724,-0.908806,-0.780218,6.084346
0.250000,7.122213,1.124085,7.190827,1.594204,-0.982079,-0.293092,6.125856
0.250000,7.457096,1.077684,7.528910,1.352329,-0.967499,0.058319,6.165867
0.250000,7.734086,1.050027,7.807276,1.113467,-0.955452,0.048189,6.201914
0.250000,7.952829,1.035504,8.026501,0.876900,-0.946267,0.036738,6.232110
0.250000,8.113188,1.029146,8.186986,0.641939,-0.939842,0.025701,6.255132
0.250000,8.216996,1.027024,8.290815,0.415318,-0.906485,0.133430,6.270402
0.250000,8.273421,1.026539,8.347243,0.225710,-0.758433,0.592205,6.278815
0.250000,8.297071,1.026478,8.370893,0.094601,-0.524433,0.936002,6.282365
0.250000,8.302527,1.026476,8.376349,0.021822,-0.291120,0.933252,0.000000
0.250000,8.302527,1.026476,8.376349,0.000000,-0.087286,0.815336,0.000000
