dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,0.155169,2.462133,0.007616,0.060932,0.243727,0.974907,0.000130
0.250000,0.184733,2.462070,0.038082,0.182795,0.487453,0.974907,6.278941
0.250000,0.253278,2.461444,0.106630,0.365590,0.731180,0.974907,6.269170
0.250000,0.375108,2.458690,0.228494,0.609317,0.974907,0.974907,6.252060
0.250000,0.557724,2.450706,0.411289,0.853044,0.974907,-0.000000,6.227075
0.250000,0.800805,2.433124,0.655016,1.096770,0.974907,0.000000,6.195167
0.250000,1.103705,2.400605,0.959674,1.340497,0.974907,0.000000,6.157788
0.250000,1.465371,2.347354,1.325264,1.584224,0.974907,0.000000,6.116969
0.250000,1.884379,2.267815,1.751786,1.827950,0.974907,-0.000000,6.075312
0.250000,2.359152,2.157494,2.239239,2.071677,0.974907,0.000000,6.035906
0.250000,2.881040,2.015943,2.780008,2.254472,0.731180,-0.974907,6.002570
0.250000,3.435129,1.848497,3.358859,2.376336,0.487453,-0.974907,5.978907
0.250000,4.007928,1.664268,3.960559,2.437267,0.243727,-0.974907,5.967294
0.250000,4.585217,1.475379,4.567965,2.421978,-0.061159,-1.219541,5.968858
0.250000,5.153108,1.294631,5.163932,2.345756,-0.304885,-0.974907,5.983385
0.250000,5.698976,1.133057,5.733227,2.208603,-0.548612,-0.974907,6.009429
0.250000,6.208995,0.998920,6.260617,2.010519,-0.792339,-0.974907,6.044313
0.250000,6.669795,0.896096,6.732781,1.766792,-0.974907,-0.730273,6.084346
0.250000,7.074457,0.823049,7.144013,1.523065,-0.974907,0.000000,6.125856
0.250000,7.421420,0.774979,7.494313,1.279338,-0.974907,0.000000,6.165867
0.250000,7.709342,0.746233,7.783682,1.035612,-0.974907,-0.000000,6.201914
0.250000,7.937268,0.731101,8.012119,0.791885,-0.974907,0.000000,6.232110
0.250000,8.104638,0.724466,8.179624,0.548158,-0.974907,-0.000000,6.255132
0.250000,8.213099,0.722248,8.288109,0.319721,-0.913748,0.244634,6.270402
0.250000,8.272089,0.721742,8.347101,0.152216,-0.670022,0.974907,6.278815
0.250000,8.296821,0.721678,8.371834,0.045642,-0.426295,0.974907,6.282365
0.250000,8.302527,0.721676,8.377539,0.000000,-0.182568,0.974907,0.000000
0.250000,8.302527,0.721676,8.377539,0.000000,0.000000,0.730273,0.000000
