dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,0.155209,2.157333,0.007616,0.060932,0.243727,0.974907,0.000130
0.250000,0.183439,2.157273,0.035846,0.112920,0.207953,-0.143094,6.278941
0.250000,0.249006,2.156673,0.101416,0.262279,0.597435,1.557929,6.269170
0.250000,0.365623,2.154037,0.218063,0.466587,0.817232,0.879185,6.252060
0.250000,0.540631,2.146386,0.393238,0.700701,0.936455,0.476895,6.227075
0.250000,0.774012,2.129504,0.627229,0.935964,0.941054,0.018395,6.195167
0.250000,1.065584,2.098198,0.920477,1.172993,0.948116,0.028248,6.157788
0.250000,1.414941,2.046755,1.273601,1.412495,0.958008,0.039569,6.116969
0.250000,1.821475,1.969577,1.687396,1.655179,0.970736,0.050912,6.075312
0.250000,2.284547,1.861966,2.162807,1.901646,0.985869,0.060531,6.035906
0.250000,2.796626,1.723065,2.693391,2.122333,0.882745,-0.412495,6.002570
0.250000,3.343809,1.557698,3.265016,2.286501,0.656673,-0.904291,5.978907
0.250000,3.913238,1.374549,3.863173,2.392629,0.424514,-0.928634,5.967294
0.250000,4.490980,1.185513,4.471055,2.431528,0.155593,-1.075684,5.968858
0.250000,5.063091,1.003426,5.071445,2.401557,-0.119883,-1.101902,5.983385
0.250000,5.616574,0.839607,5.648661,2.308867,-0.370759,-1.003508,6.009429
0.250000,6.136877,0.702774,6.186657,2.151982,-0.627540,-1.027123,6.044313
0.250000,6.609587,0.597302,6.670990,1.937334,-0.858594,-0.924215,6.084346
0.250000,7.026701,0.522014,7.094844,1.695416,-0.967672,-0.436311,6.125856
0.250000,7.385743,0.472275,7.457316,1.449887,-0.982117,-0.057782,6.165867
0.250000,7.684597,0.442439,7.757655,1.201358,-0.994116,-0.047995,6.201914
0.250000,7.921707,0.426699,7.995287,0.950527,-1.003320,-0.036819,6.232110
0.250000,8.096089,0.419786,8.169805,0.698073,-1.009817,-0.025986,6.255132
0.250000,8.209203,0.417473,8.282944,0.452552,-0.982084,0.110932,6.270402
0.250000,8.270757,0.416945,8.344500,0.246226,-0.825306,0.627111,6.278815
0.250000,8.296571,0.416878,8.370314,0.103256,-0.571877,1.013716,6.282365
0.250000,8.302527,0.416876,8.376270,0.023822,-0.317735,1.016568,0.000000
0.250000,8.302527,0.416876,8.376270,0.000000,-0.095290,0.889782,0.000000
