dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,0.131799,2.691260,0.007416,0.059331,0.237325,0.949300,6.282661
0.250000,0.164260,2.691094,0.039879,0.129849,0.282072,0.178988,6.273485
0.250000,0.237264,2.689634,0.112897,0.292074,0.648898,1.467305,6.252907
0.250000,0.366812,2.683354,0.242597,0.518800,0.906903,1.032021,6.216672
0.250000,0.560109,2.665291,0.436736,0.776556,1.031028,0.496498,6.163626
0.250000,0.814805,2.625891,0.694462,1.030903,1.017386,-0.054567,6.096535
0.250000,1.126437,2.554445,1.014178,1.278866,0.991853,-0.102133,6.020625
0.250000,1.488558,2.441522,1.393498,1.517280,0.953654,-0.152796,5.943768
0.250000,1.887119,2.284731,1.821791,1.713169,0.783557,-0.680387,5.876607
0.250000,2.304274,2.092134,2.281260,1.837877,0.498834,-1.138892,5.828940
0.250000,2.727395,1.878429,2.755287,1.896107,0.232918,-1.063663,5.806619
0.250000,3.145088,1.662998,3.225263,1.879906,-0.064802,-1.190880,5.812080
0.250000,3.547345,1.465103,3.673563,1.793198,-0.346833,-1.128126,5.844527
0.250000,3.925549,1.299381,4.086482,1.651679,-0.566077,-0.876976,5.900205
0.250000,4.268512,1.174576,4.451447,1.459860,-0.767274,-0.804788,5.971735
0.250000,4.565361,1.091087,4.759813,1.233464,-0.905584,-0.553241,6.048769
0.250000,4.810786,1.041663,5.010166,1.001410,-0.928217,-0.090532,6.121549
0.250000,5.003551,1.016241,5.204600,0.777738,-0.894689,0.134112,6.183211
0.250000,5.142928,1.005500,5.344390,0.559158,-0.874317,0.081487,6.229558
0.250000,5.231344,1.002077,5.432873,0.353932,-0.820906,0.213647,6.259477
0.250000,5.278181,1.001340,5.479715,0.187370,-0.666248,0.618630,6.275436
0.250000,5.296876,1.001254,5.498411,0.074781,-0.450357,0.863563,6.281821
0.250000,5.300869,1.001252,5.502403,0.015971,-0.235240,0.860470,6.283185
0.250000,5.300869,1.001252,5.502403,0.000000,-0.063882,0.685430,6.283185
