dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,0.131639,2.386460,0.007416,0.059331,0.237325,0.949300,6.282661
0.250000,0.161304,2.386309,0.037082,0.177994,0.474650,0.949300,6.273485
0.250000,0.228037,2.384974,0.103830,0.355987,0.711975,0.949300,6.252907
0.250000,0.346554,2.379228,0.222492,0.593312,0.949300,0.949300,6.216672
0.250000,0.523754,2.362666,0.400486,0.830637,0.949300,0.000000,6.163626
0.250000,0.758244,2.326385,0.637811,1.067962,0.949300,-0.000000,6.096535
0.250000,1.047325,2.260091,0.934467,1.305287,0.949300,0.000000,6.020625
0.250000,1.387079,2.154111,1.290454,1.542612,0.949300,-0.000000,5.943768
0.250000,1.766580,2.004779,1.698357,1.720606,0.711975,-0.949300,5.876607
0.250000,2.170533,1.818243,2.143341,1.839268,0.474650,-0.949300,5.828940
0.250000,2.587574,1.607591,2.610574,1.898599,0.237325,-0.949300,5.806619
0.250000,3.006748,1.391400,3.082216,1.874535,-0.096260,-1.334338,5.812080
0.250000,3.417888,1.189161,3.540425,1.791138,-0.333584,-0.949300,5.844527
0.250000,3.811650,1.016662,3.970369,1.648411,-0.570909,-0.949300,5.900205
0.250000,4.175109,0.884440,4.357214,1.446353,-0.808234,-0.949300,5.971735
0.250000,4.494563,0.794623,4.689137,1.209028,-0.949300,-0.564262,6.048769
0.250000,4.761734,0.740836,4.961728,0.971703,-0.949300,0.000000,6.121549
0.250000,4.973130,0.712963,5.174988,0.734378,-0.949300,0.000000,6.183211
0.250000,5.126590,0.701138,5.328917,0.497053,-0.949300,0.000000,6.229558
0.250000,5.224119,0.697362,5.426523,0.283793,-0.853040,0.385038,6.259477
0.250000,5.275819,0.696549,5.478230,0.129864,-0.615715,0.949300,6.275436
0.250000,5.296460,0.696455,5.498871,0.035266,-0.378390,0.949300,6.281821
0.250000,5.300869,0.696452,5.503279,0.000000,-0.141065,0.949300,6.283185
0.250000,5.300869,0.696452,5.503279,0.000000,0.000000,0.564262,6.283185
