dt,x,y,position,velocity,acceleration,jerk,heading
0.250000,0.131479,2.081660,0.007416,0.059331,0.237325,0.949300,6.282661
0.250000,0.158348,2.081523,0.034285,0.107475,0.192576,-0.178996,6.273485
0.250000,0.218810,2.080314,0.094759,0.241897,0.537685,1.380438,6.252907
0.250000,0.326295,2.075102,0.202371,0.430448,0.754205,0.866077,6.216672
0.250000,0.487399,2.060042,0.364177,0.647225,0.867108,0.451613,6.163626
0.250000,0.701683,2.026879,0.581012,0.867339,0.880458,0.053401,6.096535
0.250000,0.968213,1.965737,0.854465,1.093812,0.905890,0.101729,6.020625
0.250000,1.285599,1.866700,1.186945,1.329917,0.944420,0.154119,5.943768
0.250000,1.646041,1.724826,1.574303,1.549434,0.878069,-0.265404,5.876607
0.250000,2.036791,1.544352,2.004718,1.721659,0.688897,-0.756687,5.828940
0.250000,2.447753,1.336753,2.465138,1.841682,0.480092,-0.835222,5.806619
0.250000,2.868408,1.119803,2.938443,1.893221,0.206159,-1.095730,5.812080
0.250000,3.288432,0.913218,3.406522,1.872313,-0.083635,-1.159178,5.844527
0.250000,3.697750,0.733943,3.853378,1.787425,-0.339549,-1.023655,5.900205
0.250000,4.081706,0.594304,4.261938,1.634242,-0.612733,-1.092738,5.971735
0.250000,4.423766,0.498160,4.617253,1.421258,-0.851938,-0.956817,6.048769
0.250000,4.712681,0.440009,4.911962,1.178838,-0.969679,-0.470967,6.121549
0.250000,4.942709,0.409685,5.143980,0.928072,-1.003065,-0.133541,6.183211
0.250000,5.110252,0.396776,5.312020,0.672161,-1.023643,-0.082313,6.229558
0.250000,5.216893,0.392648,5.418741,0.426883,-0.981110,0.170133,6.259477
0.250000,5.273457,0.391758,5.475312,0.226282,-0.802405,0.714820,6.275436
0.250000,5.296044,0.391655,5.497899,0.090350,-0.543729,1.034705,6.281821
0.250000,5.300869,0.391652,5.502724,0.019298,-0.284208,1.038082,6.283185
0.250000,5.300869,0.391652,5.502724,0.000000,-0.077192,0.828063,6.283185
